,payer_account_id,reward_point,Total InFlow Amount,Total OutFlow Amount,Total Valuechain Amount,Total InFlow Count,Total OutFlow Count,Total Valuechain Count,monthly_inflow_amount,monthly_outflow_amount,monthly_valuechain_amount,Average InFlow,Average OutFlow,Value Chain,latest_product_used,latest_tran_date,monthly_average_lifetime_revenue,revenue_amount,product_usage,most_used_product,second_most_used_product,thirdmost_used_product
0,26,0.0,34340.0,51340.0,18471.0,12.0,15.0,53.0,34340.0,51340.0,9235.5,12.0,15.0,26.5,Prepaid Topup,2023-01-06,20.429999999999996,40.85999999999999,15,NT Prepaid Topup,Prepaid Topup,Send Money
1,34,68.0,2216350.0,2484970.0,251088.0,126.0,143.0,80.0,1108175.0,1242485.0,125544.0,63.0,71.5,40.0,Electricity,2023-01-06,258.215,516.43,33,Send Money,Electricity,NT Prepaid Topup
2,56,39.0,25475.0,147875.0,86505.0,15.0,22.0,193.0,12737.5,73937.5,43252.5,7.5,11.0,96.5,Electricity,2023-01-06,101.055,202.11,19,Ncell Topup,Electricity,Send Money
3,222,0.0,0.0,0.0,510.0,0.0,0.0,4.0,0.0,0.0,255.0,,,2.0,Ncell Topup,2023-01-01,1.9099999999999997,3.8199999999999994,1,Ncell Topup,,
4,471,14.0,700.0,700.0,21898.0,2.0,2.0,116.0,700.0,700.0,10949.0,2.0,2.0,58.0,Prepaid Topup,2023-01-06,49.88999999999999,99.77999999999999,8,Ncell Topup,NT Prepaid Topup,Prepaid Topup
5,531,0.0,0.0,0.0,1875247.0,0.0,0.0,9995.0,0.0,0.0,625082.3333333334,,,3331.6666666666665,TOPUP VIA BANK DIRECT,2023-03-29,758.0133333333333,2274.04,88,NT Topup via Bank,Ncell Topup via Bank,TOPUP VIA BANK DIRECT
6,1056,8.0,0.0,0.0,400.0,0.0,0.0,2.0,0.0,0.0,400.0,,,2.0,Prepaid Topup,2022-12-01,14.0,14.0,2,NT Prepaid Topup,Prepaid Topup,
